nc	pc	oct	accid	dur	tie	chord	part	meas	beat	beatIndex
3	5	4	NA	2	NA	0	1	30	2.5	92.5
2	4	4	NA	4	NA	0	1	31	0	93
NA	NA	NA	NA	2	NA	0	1	31	1	94
6	10	4	NA	2	NA	0	1	31	1.5	94.5
6	10	4	NA	4	NA	0	1	31	2	95
5	9	4	NA	0	NA	0	1	32	0	96
6	10	4	NA	0	NA	0	1	32	0	96
1	2	5	NA	6	NA	0	1	32	0	96
0	0	5	NA	2	NA	0	1	32	1.5	97.5
5	9	4	NA	2	NA	0	1	32	2	98
4	7	4	NA	2	NA	0	1	32	2.5	98.5
3	5	4	NA	4	NA	0	1	33	0	99
NA	NA	NA	NA	2	NA	0	1	33	1	100
3	5	5	NA	2	NA	0	1	33	1.5	100.5
3	5	5	NA	4	NA	0	1	33	2	101
2	4	5	NA	0	NA	0	1	34	0	102
3	5	5	NA	0	NA	0	1	34	0	102
5	9	5	NA	6	NA	0	1	34	0	102
4	7	5	NA	2	NA	0	1	34	1.5	103.5
4	7	5	NA	2	NA	0	1	34	2	104
3	5	5	NA	2	NA	0	1	34	2.5	104.5
3	5	5	NA	2	NA	0	1	35	0	105
2	4	5	NA	2	NA	0	1	35	0.5	105.5
2	4	5	NA	2	NA	0	1	35	1	106
1	2	5	NA	2	NA	0	1	35	1.5	106.5
0	0	5	NA	2	NA	0	1	35	2	107
6	10	4	NA	2	NA	0	1	35	2.5	107.5
5	9	4	NA	12	start	0	1	36	0	108
5	9	4	NA	2	stop	0	1	37	0	111
6	11	4	n	1	NA	0	1	37	0.5	111.5
0	1	5	s	1	NA	0	1	37	0.75	111.75
1	2	5	NA	1	NA	0	1	37	1	112
2	4	5	NA	1	NA	0	1	37	1.25	112.25
3	5	5	NA	1	NA	0	1	37	1.5	112.5
2	4	5	NA	1	NA	0	1	37	1.75	112.75
1	2	5	NA	1	NA	0	1	37	2	113
0	0	5	n	1	NA	0	1	37	2.25	113.25
6	11	4	NA	1	NA	0	1	37	2.5	113.5
5	9	4	NA	1	NA	0	1	37	2.75	113.75
4	7	4	NA	12	start	0	1	38	0	114
4	7	4	NA	2	stop	0	1	39	0	117
5	9	4	NA	1	NA	0	1	39	0.5	117.5
6	11	4	n	1	NA	0	1	39	0.75	117.75
0	0	5	NA	1	NA	0	1	39	1	118
6	11	4	NA	1	NA	0	1	39	1.25	118.25
0	0	5	NA	1	NA	0	1	39	1.5	118.5
6	11	4	NA	1	NA	0	1	39	1.75	118.75
0	0	5	NA	1	NA	0	1	39	2	119
6	11	4	NA	1	NA	0	1	39	2.25	119.25
0	0	5	NA	1	NA	0	1	39	2.5	119.5
6	11	4	NA	1	NA	0	1	39	2.75	119.75
0	0	5	NA	12	start	0	1	40	0	120
0	0	5	NA	6	stop	0	1	41	0	123
1	1	5	f	1	NA	0	1	41	1.5	124.5
0	0	5	NA	1	NA	0	1	41	1.75	124.75
6	10	4	NA	2	NA	0	1	41	2	125
0	0	5	NA	2	NA	0	1	41	2.5	125.5
2	3	5	f	6	NA	0	1	42	0	126
1	1	5	f	2	NA	0	1	42	1.5	127.5
6	10	4	NA	2	NA	0	1	42	2	128
5	8	4	f	2	NA	0	1	42	2.5	128.5
4	7	4	NA	4	NA	0	1	43	0	129
NA	NA	NA	NA	2	NA	0	1	43	1	130
2	3	5	f	1	NA	0	1	43	1.5	130.5
1	1	5	f	1	NA	0	1	43	1.75	130.75
0	0	5	NA	2	NA	0	1	43	2	131
1	1	5	NA	2	NA	0	1	43	2.5	131.5
3	5	5	NA	6	NA	0	1	44	0	132
2	3	5	f	2	NA	0	1	44	1.5	133.5
0	0	5	NA	2	NA	0	1	44	2	134
6	10	4	NA	2	NA	0	1	44	2.5	134.5
5	9	4	NA	4	NA	0	1	45	0	135
NA	NA	NA	NA	2	NA	0	1	45	1	136
3	5	5	NA	1	NA	0	1	45	1.5	136.5
2	3	5	f	1	NA	0	1	45	1.75	136.75
1	2	5	NA	2	NA	0	1	45	2	137
2	3	5	NA	2	NA	0	1	45	2.5	137.5
3	5	5	NA	12	NA	0	1	46	0	138
2	3	5	f	4	NA	0	1	47	0	141
