year	artist	titleCode	title	album	type	era	inRevisedCorpus	inOriginalCorpus	newToTranscribe	lyrics	audio downloaded
2014	The Roots		black rock	and then you shoot your cousin	roots_album	3	0	0			
2004	The Roots		boom	the tipping point	roots_album	2	0	0			
2006	The Roots		bread and butter	game theory	roots_album	2	1	1			
2006	The Roots		can't stop this	game theory	roots_album	2	1	1			
2006	The Roots		clock with no hands	game theory	roots_album	2	0	0			
1993	The Roots		Common Dust	Organix	roots_album	1	0	0			
2002	The Roots		complexity	phrenology	roots_album	2	0	0			
1996	The Roots		Concerto of the Desperado	Illadelph Halflife	roots_album	1	0	0			
2008	The Roots		criminal	rising down	roots_album	2	0	0			
1995	The Roots		Datskat	Do You Want More	roots_album	1	0	0			
1995	The Roots		Do You Want More	Do You Want More	roots_album	1	0	0			
2010	The Roots		doin it again	how i got over	roots_album	3	0	1			
1999	The Roots		double trouble	things fall apart	roots_album	1	0	0			
2004	The Roots		duck down	the tipping point	roots_album	2	0	0			
1996	The Roots		Episodes	Illadelph Halflife	roots_album	1	0	0			
2006	The Roots		false media	game theory	roots_album	2	1	1			
2008	The Roots		get busy	rising down	roots_album	2	0	0			
1993	The Roots	goodMusic	Good Music	Organix	roots_album	1	1	0	1	1	1
1993	The Roots		Good Music	Organix	roots_album	1	0	0			
2008	The Roots		grand return	rising down	roots_album	2	0	0			
1993	The Roots		Grits	Organix	roots_album	1	0	0			
2004	The Roots		guns are drawn	the tipping point	roots_album	2	0	0			
2006	The Roots		here i come	game theory	roots_album	2	0	0			
2010	The Roots		hustla	how i got over	roots_album	3	0	1			
2008	The Roots		i can't help it	rising down	roots_album	2	0	0			
1995	The Roots		I Remain Calm	Do You Want More	roots_album	1	0	0			
2011	The Roots		i remember	undun	roots_album	3	0	1			
2008	The Roots		i will not apologize	rising down	roots_album	2	0	0			
1993	The Roots		I'm Out Deah	Organix	roots_album	1	0	0			
2004	The Roots		in love with the mic	the tipping point	roots_album	2	0	0			
2006	The Roots		in the music	game theory	roots_album	2	0	0			
1996	The Roots		It Just Don't Stop	Illadelph Halflife	roots_album	1	0	0			
1994	The Roots		It's Comin'	From the Ground Up	roots_album	1	0	0			
2011	The Roots		kool on	undun	roots_album	3	1	1			
1995	The Roots		Lazy Afternoon	Do You Want More	roots_album	1	0	0			
1993	The Roots		Leonard I-V	Organix	roots_album	1	0	0			
2011	The Roots		lighthouse	undun	roots_album	3	0	1			
2006	The Roots		livin' in a new world	game theory	roots_album	2	0	0			
2006	The Roots		long time	game theory	roots_album	2	1	1			
2008	The Roots		lost desire	rising down	roots_album	2	0	0			
1995	The Roots		Mellow My Man	Do You Want More	roots_album	1	0	0			
2014	The Roots		never	and then you shoot your cousin	roots_album	3	0	0			
1996	The Roots		No Alibi	Illadelph Halflife	roots_album	1	0	0			
2010	The Roots		now or never	how i got over	roots_album	3	0	1			
2011	The Roots		one time	undun	roots_album	3	0	1			
1996	The Roots		Panic	Illadelph Halflife	roots_album	1	0	0			
1993	The Roots		Pass the Popcorn	Organix	roots_album	1	0	0			
1993	The Roots		Peace	Organix	roots_album	1	0	0			
1993	The Roots		Popcorn Revisited	Organix	roots_album	1	0	0			
1996	The Roots		Push Up Ya Lighter	Illadelph Halflife	roots_album	1	0	0			
2002	The Roots		pussy galore	phrenology	roots_album	2	0	0			
2002	The Roots		quills	phrenology	roots_album	2	0	0			
2010	The Roots		radio daze	how i got over	roots_album	3	1	1			
1996	The Roots		Respond/Reacht	Illadelph Halflife	roots_album	1	0	0			
2002	The Roots		rhymes and ammo	phrenology	roots_album	2	0	0			
2010	The Roots		right on	how i got over	roots_album	3	0	0			
2008	The Roots		rising down	rising down	roots_album	2	0	0			
2002	The Roots		Rock You	phrenology	roots_album	2	0	0			
2002	The Roots		Rolling with Heat	phrenology	roots_album	2	0	0			
2002	The Roots		Sacrifice	phrenology	roots_album	2	0	0			
1996	The Roots	ection	Section	Illadelph Halflife	roots_album	1	1	0	1	1	1
2008	The Roots		singing man	rising down	roots_album	2	0	0			
2011	The Roots		sleep	undun	roots_album	3	1	1			
2004	The Roots		sombody's gotta do it	the tipping point	roots_album	2	0	0			
2002	The Roots		something in the way of things	phrenology	roots_album	2	0	0			
2004	The Roots		star/pointro	the tipping point	roots_album	2	0	0			
1999	The Roots	stepIntoTheRealm	step into the realm	things fall apart	roots_album	1	1	0	1	1	1
2011	The Roots		stomp	undun	roots_album	3	0	1			
1995	The Roots	sweptAway	Swept Away	Do You Want More	roots_album	1	1	0	1	1	1
1999	The Roots		Table of contents p. 3	the legendary EP	roots_album	1	0	0			
1999	The Roots		Table of contents parts 1 & 2	things fall apart	roots_album	1	0	0			
2006	The Roots		take it there	game theory	roots_album	2	0	1			
1993	The Roots		The Anti-Circle	Organix	roots_album	1	0	0			
2014	The Roots		the dark (trinity	and then you shoot your cousin	roots_album	3	0	0			
2010	The Roots		the day	how i got over	roots_album	3	0	1			
1996	The Roots	theHypnotic	The Hypnotic	Illadelph Halflife	roots_album	1	1	0	1	1	1
1995	The Roots	theLesson	"The Lesson, Pt. 1"	Do You Want More	roots_album	1	1	0	1	1	1
1999	The Roots		the next movement	things fall apart	roots_album	1	0	0			
2011	The Roots		the otherside	undun	roots_album	3	0	1			
1993	The Roots		The Roots is Comin'	Organix	roots_album	1	0	0			
1993	The Roots		The Session	Organix	roots_album	1	0	0			
2008	The Roots		the show (must go on)	rising down	roots_album	2	0	0			
1999	The Roots		The Ultimate	the legendary EP	roots_album	1	0	0			
2014	The Roots		the unraveling	and then you shoot your cousin	roots_album	3	0	0			
2002	The Roots		Thought @ work	phrenology	roots_album	2	0	0			
2014	The Roots		understand	and then you shoot your cousin	roots_album	3	0	0			
1996	The Roots		Universe at War	Illadelph Halflife	roots_album	1	0	0			
2010	The Roots		walk alone	how i got over	roots_album	3	0	1			
2002	The Roots		water (the first movement	phrenology	roots_album	2	0	0			
2004	The Roots		web	the tipping point	roots_album	2	0	0			
2010	The Roots		web 20/20	how i got over	roots_album	3	0	0			
1995	The Roots		What Goes On p. 7	Do You Want More	roots_album	1	0	0			
2004	The Roots		why (what's goin on?)	the tipping point	roots_album	2	0	0			
1999	The Roots	withoutADoubt	without a doubt	things fall apart	roots_album	1	1	0	1	1	1
1993	The Roots		Writters Block	Organix	roots_album	1	0	0			
1995	The Roots		You Ain't Fly	Do You Want More	roots_album	1	0	0			
1999	The Roots		adrenaline	things fall apart	roots_single	1	0	0			
2008	The Roots	birthdayGirl	birthday girl	rising down	roots_single	2	1	0	1	1	1
2002	The Roots		break you off	phrenology	roots_single	2	0	0			
1996	The Roots		Clones	Illadelph Halflife	roots_single	1	0	0			
2010	The Roots		dear god	how i got over	roots_single	3	1	1			
1995	The Roots		Distortion to Static	Do You Want More	roots_single	1	0	0			
2006	The Roots		don't feel right	game theory	roots_single	2	0	0			
2004	The Roots		don't say nuthin	the tipping point	roots_single	2	0	0			
1999	The Roots		don't see us	things fall apart	roots_single	1	0	0			
2010	The Roots		hard times	wake up	roots_single	3	0	0			
2010	The Roots		how i got over	how i got over	roots_single	3	0	1			
2004	The Roots		i don't care	the tipping point	roots_single	2	0	0			
