artist	title	accRef1	mixRef1	diff1	accRef2	mixRef2	diff2	drift	dbA	dbAmeas	dbB	dbBmeas	tempo
kendrickLamar	thuggin1	0	0	0	0	0	0	NA	-0.197875	0	22.390125	8	85.00088543
kendrickLamar	untitledSeven2	0	0	0	0	0	0	NA	0.094125	0	30.330125	8	63.50046302
kendrickLamar	weUp1	0	0	0	0	0	0	NA	-0.279928571	0	18.36464286	8	102.9790364
kendrickLamar	yah1	0	0	0	0	0	0	NA	0.6152857	0	28.0438571	8	70.00145836
lilKim	lightersUp	6.977	6.012	-0.965	37.356	36.384	-0.972	0	1.036	1	43.237	17	90.99310443
ludacris	myChickBad	0.863	0.887	0.024	21.724	21.744	0.02	0	0.506	1	31.568	12	84.99130771
missyElliott	getUr	4.21	4.323	0.113	16.38	16.474	0.094	-0.002	5.371	3	18.869	8	88.90205956
nas	BridgingTheGap_v1	3.588	48.604	45.016	39.356	84.41	45.054	0.001	47.52	0	88.708	16	93.23103817
nas	EveryGhetto_v3	0.792	116.52	115.728	21.624	137.366	115.742	0.001	115.712	0	137.61	8	87.67924011
nas	HeadOverHeels_v1	5.954	15.691	9.737	19.631	29.476	9.845	0.008	10.179	0	30.166	8	96.06244059
nas	John_v1	0.662	25.335	24.673	22.388	46.772	24.384	-0.013	25.744	0	46.81	8	91.14212475
nas	MoneyIsMyBitch_v3	1.721	2.003	0.282	38.831	39.98	1.149	0.023	0.688	0	22.482	8	88.1
nas	WeMajor_v2	5.036	162.58	157.544	33.647	191.196	157.549	0	157.257	0	182.515	9	85.51745981
queenLatifa	unity	13.988	14.106	0.118	35.115	35.24	0.125	0	0.117	1	40.991	17	93.94725253
snoopDogg	dropIt	0.615	1.014	0.399	33.229	33.628	0.399	0	0.075	1	39.201	16	92.01042785
snoopDogg	DropIt_v2	0.656	108.604	107.948	27.991	135.94	107.949	0	107.664	0	128.533	8	92.00249173
snoopDogg	GettinFunky_v3	0.477	2.364	1.887	20.936	23.478	2.542	0.031	1.476	0	22.595	8	90.91339552
snoopDogg	Ghetto_v1	0.25	6.669	6.419	21.632	28.185	6.553	0.006	6.264	0	25.844	8	98.05924413
snoopDogg	IWannaThankYa_v1	6.266	34.89	28.624	18.535	47.173	28.638	0.001	28.685	0	48.078	8	99.00479554
snoopDogg	NotLikeItWas_v1	0.471	7.468	6.997	20.887	27.854	6.967	-0.001	7.596	0	26.561	8	101.2391247
snoopDogg	SnoopsUpsideYaHead_v2	19.379	19.379	0	19.379	19.379	0	0	0.215	0	19.379	8	100.1878522
snoopDogg	ThaShiznit_v1	9.235	66.16	56.925	9.335	66.26	56.925	0	59.41	1	79.23	9	96.87184662
talibKweli	aroundMyWay2	1.934	1.867	-0.067	40.194	39.992	-0.202	-0.004	0	0	46.822	16	82.01272906
talibKweli	backup1	8.905	9.401	0.496	42.234	42.619	0.385	-0.003	1.439	0	25.05	10	101.6475372
talibKweli	backup2	2.252	2.222	-0.03	34.082	33.897	-0.185	-0.005	2.347	1	25.958	11	101.6475372
talibKweli	brightAsTheStars	21.804	21.944	0.14	57.344	57.479	0.135	0	0.659	0	20.824	8	95.21448054
talibKweli	brokenAnglish1	45.008	46.225	1.217	74.937	76.173	1.236	0.001	3.838	1	30.886	12	97.60425909
talibKweli	chaos2	5.008	4.962	-0.046	13.672	13.67	-0.002	0.005	0.198	0	15.82	6	92.17769812
talibKweli	chillin1	2.833	3.695	0.862	37.4755	38.335	0.8595	0	0.782	0	10.68	4	96.98929077
talibKweli	countryCousins	10.826	10.913	0.087	48.554	48.635	0.081	0	0.008	0	51.622	16	74.39841903
talibKweli	dontletup2	14.834	15.691	0.857	65.176	65.985	0.809	-0.001	0.122	0	11.31	4	85.80622095
talibKweli	flashGordon1	2.542	2.648	0.106	42.477	42.614	0.137	0.001	0.478	0	21.685	8	90.53614373
talibKweli	getby1	1.907	2.455	0.548	47.606	48.145	0.539	0	0.967	0	11.622	4	90.09854528
talibKweli	getemhigh	2.034	2.461	0.427	27.108	27.517	0.409	-0.001	1.031	0	11.901	4	88.31646734
talibKweli	goodMourning2	14.364	14.561	0.197	47.267	47.477	0.21	0	0.369	0	10.674	4	93.15866084
talibKweli	hostileGospel3	22.809	22.632	-0.177	37.293	37.128	-0.165	0.001	2.493	1	10.705	4	87.67657087
talibKweli	hotthing1	0.613	1.142	0.529	16.939	17.465	0.526	0	0.252	0	10.357	4	95.00247402
talibKweli	itry3	6.188	6.547	0.359	15.242	15.605	0.363	0	0.5965628	0	10.5775628	4	96.18274722
talibKweli	listen1	2.726	3.129	0.403	25.318	25.721	0.403	0	2.801	1	10.146	4	98.02586794
talibKweli	lockitdown1	2.59	3.496	0.906	26.211	27.114	0.903	0	0.527	0	15.689	6	94.9742778
talibKweli	missjanuary	16.481	16.649	0.168	36.263	36.425	0.162	0	2.433	1	9.934	4	95.98720171
talibKweli	moodswing1	5.846	6.102	0.256	17.201	17.451	0.25	-0.001	0.288	0	11.073	4	89.01251739
talibKweli	moreorless1	6.443	6.359	-0.084	38.698	38.601	-0.097	0	2.646	1	21.334	8	89.89726027
talibKweli	moreorless3	6.072	6.947	0.875	36.526	37.39	0.864	0	0.812	0	11.478	4	90.00562535
talibKweli	movesomething2	4.437	4.495	0.058	40.007	40.066	0.059	0	0.032	0	10.465	4	92.01571935
talibKweli	neverBeenInLove2	0.579	2.628	2.049	13.749	15.947	2.198	0.011	1.697	0	11.695	4	96.01920384
talibKweli	pushthru	7.209	8.678	1.469	43.153	44.62	1.467	0	1.919197	0	13.918197	4	80.00666722
talibKweli	putyo	0.452	0.52	0.068	28.732	28.962	0.23	0.006	2.984	1	10.758	4	92.61641369
talibKweli	rockon2	0.82	1.433	0.613	37.661	38.278	0.617	0	0.305	0	10.796	4	91.50700601
talibKweli	saysomething2	1.173	1.22	0.047	25.882	26.201	0.319	0.011	0.334	0	9.838	4	101.010101
talibKweli	wagesOfSin1	3.122	8.091	4.969	37.368	42.44	5.072	0.003	5.518	0	15.415	4	96.99909063
talibKweli	yellinaway	4.315	5.161	0.846	19.743	20.592	0.849	0	2.486	0	12.788	4	93.18578917
taylorSwift	loveStory	4.455	20.879	16.424	21.929	38.353	16.424	0	16.904	0	49.209	8	59.43
techN9ne	EverybodyMove_v1	0.046	6.515	6.469	29.775	36.25	6.475	0	6.538	0	32.137	8	75.0029298
techN9ne	HereComesTeccaNina_v1	3.467	25.662	22.195	38.835	61.006	22.171	-0.001	22.024	0	42.235	8	94.99777349
techN9ne	IGottaKnow_v2	1.105	112.717	111.612	32.727	144.339	111.612	0	111.458	0	129.744	8	104.9983594
techN9ne	ImAPlaya_v4	6.695	190.109	183.414	43.135	226.549	183.414	0	183.15	0	206.005	8	84.00787574
techN9ne	ImmaTell_v2	1.094	102.445	101.351	47.811	149.237	101.426	0.002	101.867	0	126.507	8	77.92207792
techN9ne	SeeMe_v3	1.785	160.58	158.795	25.153	183.949	158.796	0	159.037	0	172.278	4	72.50207688
techN9ne	WhatWeAre_v2	22.148	114.079	91.931	22.148	114.079	91.931	0	91.789	0	104.76	4	74.01125588
threeSixMafia	stayFly	1.283	1.469	0.186	24.731	24.911	0.18	0	0.255	1	29.06	17	133.3101892
tupac	howDoYou_v1	7.004	6.602	-0.402	51.232	50.684	-0.548	-0.003	1.081	0	21.86	8	92.4
wuTangClan	cream	1.309	1.595	0.286	51.59	51.915	0.325	0.001	2.796	1	24.098	9	90.13238194
