artist	title	m1	b1	bpm	db0	db8	tranche	transcription	TextGrid	artistOriginYear	era	songYear	album	region	type	bestOf
eminem	whiteAmerica1	-1	3.25	75.00879009	0.984	26.581	otherEminem	0	0	NA	NA	2003	The Eminem Show	midwest	artist_single	
eminem	whiteAmerica2	-1	3.25	74.99707043	0.73	26.331	otherEminem	0	0	NA	NA	2003	The Eminem Show	midwest	artist_single	
eminem	withoutMe3	-1	3.25	112.2413188	0.601	17.707	otherEminem	0	0	NA	NA	2003	The Eminem Show	midwest	artist_single	
eminem	renegade2	-1	3.25	85.26	NA	NA	didactic	1	NA	NA	NA	2001	The Blueprint	NA	feature_nonArtist_nonSingle	
andre3k	msJackson2	0	0.25	95	NA	NA	andre3k	1	NA	NA	NA	2000	Stankonia	south	undetermined	
eminem	40ounce2	-1	3.75	82.97679243	0.389	23.528	otherEminem	1	NA	NA	NA	2004	D12 World	midwest	feature_nonArtist_nonSingle	
eminem	illHurtYou2	0	0.25	90.12392039	10.509	31.813	otherEminem	1	NA	NA	NA	2006	The Big Bang	midwest	feature_nonArtist_nonSingle	
eminem	renegade4	-1	3.25	84.59640465	0.623	23.319	otherEminem	0	0	NA	NA	2001	The Blueprint	midwest	feature_nonArtist_nonSingle	
eminem	takingMyBall2	-1	3.25	91.01251422	0.847	21.943	otherEminem	0	0	NA	NA	2010	Relapse: Refill	midwest	feature_nonArtist_nonSingle	
eminem	weAint	-1	3.25	85.99068434	0.605	22.933	otherEminem	0	0	NA	NA	2005	The Documentary	midwest	feature_nonArtist_nonSingle	
asapRocky	purpleSwag	0	0	NA	NA	NA	didactic	NA	NA	NA	NA	NA	NA	NA	undetermined	
blackThought	youGotMe1	-1	3.25	81	NA	NA	didactic	0	NA	NA	NA	NA	NA	NA	album	
blackThought	youGotMe11999b	-1	3.25	81	NA	NA	didactic	0	NA	NA	NA	NA	NA	NA	album	
blackThought	youGotMe11999c	-1	3.25	81	NA	NA	didactic	0	NA	NA	NA	NA	NA	NA	album	
blackThought	youGotMe12002a	-1	3.25	81	NA	NA	didactic	0	NA	NA	NA	NA	NA	NA	album	
blackThought	youGotMe12005a	-1	3.25	81	NA	NA	didactic	0	NA	NA	NA	NA	NA	NA	album	
blackThought	youGotMe12008a	-1	3.25	81	NA	NA	didactic	0	NA	NA	NA	NA	NA	NA	album	
blackThought	youGotMe12010a	-1	3.25	81	NA	NA	didactic	0	NA	NA	NA	NA	NA	NA	album	
blackThought	youGotMe12015a	-1	3.25	81	NA	NA	didactic	0	NA	NA	NA	NA	NA	NA	album	
blackThought	youGotMe2	-1	3.75	81	NA	NA	didactic	0	NA	NA	NA	NA	NA	NA	album	
blackThought	youGotMe3	-1	3.5	81	NA	NA	didactic	0	NA	NA	NA	NA	NA	NA	album	
blackThought	falseMediaX	-1	1.5	NA	NA	NA	didactic	1	NA	NA	NA	NA	gameTheory	NA	album	
blackThought	nowOrNever-1	-1	3.5	NA	NA	NA	didactic	1	NA	NA	NA	NA	howIGotOver	NA	album	
blackThought	nowOrNever-2	-1	3.5	NA	NA	NA	didactic	1	NA	NA	NA	NA	howIGotOver	NA	album	
blackThought	nowOrNever+1	-1	3.5	NA	NA	NA	didactic	1	NA	NA	NA	NA	howIGotOver	NA	album	
blackThought	nowOrNever+2	-1	3.5	NA	NA	NA	didactic	1	NA	NA	NA	NA	howIGotOver	NA	album	
classified	stillGotIt	0	0.25	NA	NA	NA	didactic	NA	NA	NA	NA	NA	NA	NA	undetermined	
eminem	cleaninOut3	-1	3	74	NA	NA	didactic	0	NA	NA	NA	NA	NA	NA	undetermined	
eminem	noLove(halfTime)	-1	2.5	NA	NA	NA	didactic	1	NA	NA	NA	NA	NA	NA	undetermined	
eminem	takeFromMe(halfTime)	-1	3.75	NA	NA	NA	didactic	1	NA	NA	NA	NA	NA	NA	undetermined	
evidence	reachUs2	-1	3.25	NA	NA	NA	didactic	0	0	NA	NA	NA	NA	NA	undetermined	
fatJoe	breatheAndStop	-1	3.34	NA	NA	NA	didactic	NA	NA	NA	NA	NA	NA	NA	undetermined	
flobots	airplaneMode	0	0	NA	NA	NA	didactic	NA	NA	NA	NA	NA	NA	NA	undetermined	
iceT	iAint	0	0	NA	NA	NA	didactic	NA	NA	NA	NA	NA	NA	NA	undetermined	
iceT	iAintRecomposed	0	0	NA	NA	NA	didactic	NA	NA	NA	NA	NA	NA	NA	undetermined	
krsOne	dontGet	-1	3.5	NA	NA	NA	didactic	NA	NA	NA	NA	NA	NA	NA	undetermined	
krsOne	dontGetRecomposed	-1	3.5	NA	NA	NA	didactic	NA	NA	NA	NA	NA	NA	NA	undetermined	
kurtisBlow	basketball	0	0	91	NA	NA	didactic	0	0		NA	NA	NA	NA	undetermined	
lilWayne	weezyBaby	0	0.334	NA	NA	NA	didactic	NA	NA	NA	NA	NA	NA	NA	undetermined	
outkast	flipFlopRock	-1	3	NA	NA	NA	didactic	NA	NA	NA	NA	NA	NA	NA	undetermined	
talibKweli	getby1(excerpt)	-1	3.25	NA	NA	NA	didactic	1	NA	NA	NA	NA	NA	NA	undetermined	
techN9ne	strange	0	0	NA	NA	NA	didactic	NA	NA	NA	NA	NA	NA	NA	undetermined	
